image_id_worm,label
id_0002ea6f15c7fa6f4c221783_pbw.jpg,47
id_0002ea6f15c7fa6f4c221783_abw.jpg,0
id_0005ef295aafe6acc63587db_pbw.jpg,8
id_0005ef295aafe6acc63587db_abw.jpg,0
id_00084298dd030a500033ff78_pbw.jpg,0
id_00084298dd030a500033ff78_abw.jpg,0
id_00093f2c76f6488737325859_pbw.jpg,5
id_00093f2c76f6488737325859_abw.jpg,0
id_000b2e6c437c643f25d4a6c3_pbw.jpg,87
id_000b2e6c437c643f25d4a6c3_abw.jpg,0
id_000c2040da4b05816cefbb96_pbw.jpg,0
id_000c2040da4b05816cefbb96_abw.jpg,0
id_001149c0de05ea4941d966e0_pbw.jpg,0
id_001149c0de05ea4941d966e0_abw.jpg,5
id_001e574d805941d7f2cb0302_pbw.jpg,3
id_001e574d805941d7f2cb0302_abw.jpg,0
id_001f4346191855c521871616_pbw.jpg,0
id_001f4346191855c521871616_abw.jpg,0
id_002087d55e497d26352496a4_pbw.jpg,0
id_002087d55e497d26352496a4_abw.jpg,0
id_002b8a0e15968eaf2e61f4c7_pbw.jpg,9
id_002b8a0e15968eaf2e61f4c7_abw.jpg,0
id_003ad8831eae2f0117f5aaf2_pbw.jpg,6
id_003ad8831eae2f0117f5aaf2_abw.jpg,0
id_00450e8b229932359e7c32a3_pbw.jpg,32
id_00450e8b229932359e7c32a3_abw.jpg,3
id_00450e8b229932359e7c32a3_pbw.jpg,32
id_00450e8b229932359e7c32a3_abw.jpg,3
id_004cb31e5bfaba2dab9042e5_pbw.jpg,3
id_004cb31e5bfaba2dab9042e5_abw.jpg,0
id_0051657d3b6b4d7858088283_pbw.jpg,0
id_0051657d3b6b4d7858088283_abw.jpg,0
id_006296f82479c03459102436_pbw.jpg,0
id_006296f82479c03459102436_abw.jpg,0
id_00695feae97d7bf88bb498a2_pbw.jpg,62
id_00695feae97d7bf88bb498a2_abw.jpg,0
id_006e9f771965fd78278baa19_pbw.jpg,2
id_006e9f771965fd78278baa19_abw.jpg,0
id_00750938fb12fad4fd8fad24_pbw.jpg,9
id_00750938fb12fad4fd8fad24_abw.jpg,0
id_00773a42b1415d887107663a_pbw.jpg,0
id_00773a42b1415d887107663a_abw.jpg,5
id_007faaec98bbae829fb2b29d_pbw.jpg,5
id_007faaec98bbae829fb2b29d_abw.jpg,0
id_009d7e2ef3c4f47b14c6c4c3_pbw.jpg,0
id_009d7e2ef3c4f47b14c6c4c3_abw.jpg,0
id_009ea76ac5d7756b747ec589_pbw.jpg,0
id_009ea76ac5d7756b747ec589_abw.jpg,0
id_00a724a5dd06427c16ff8479_pbw.jpg,0
id_00a724a5dd06427c16ff8479_abw.jpg,0
id_00a90e6639b2983e1ef6244f_pbw.jpg,0
id_00a90e6639b2983e1ef6244f_abw.jpg,3
id_00adaccff7693b67eeb8fdc7_pbw.jpg,0
id_00adaccff7693b67eeb8fdc7_abw.jpg,7
id_00b0c1caec542c07ab994269_pbw.jpg,48
id_00b0c1caec542c07ab994269_abw.jpg,0
id_00b14550034ab3bafcb67117_pbw.jpg,25
id_00b14550034ab3bafcb67117_abw.jpg,0
id_00b6b77332b132dbb58a7dc4_pbw.jpg,7
id_00b6b77332b132dbb58a7dc4_abw.jpg,0
id_00b9f1978098b0c5cbadc8c0_pbw.jpg,0
id_00b9f1978098b0c5cbadc8c0_abw.jpg,0
id_00bbc1f6e9dcde3f2aad3f39_pbw.jpg,0
id_00bbc1f6e9dcde3f2aad3f39_abw.jpg,9
id_00c5e18f37b15519ace21ce2_pbw.jpg,0
id_00c5e18f37b15519ace21ce2_abw.jpg,0
id_00c6d6db61a9d7393ad39186_pbw.jpg,17
